front,back
What is an instance store?,A separate drive that comes with some instances.
What is an Origin Access Identity?,Restricts access to S3 buckets so only CloudFront can reach them.
What is an RCP (Resource Control Policy)?,"An Organizations policy that sets maximum permissions on RESOURCES across accounts (e.g. enforce that all S3 buckets require encryption), complementing SCPs which act on principals."
What is an S3 access point?,A Network endpoint that attaches to one S3 bucket. It also restricts access to the bucket.
What is an S3 object lock?,Prevents an S3 object from being deleted or overwritten
What is an SCP (Service Control Policy) and what can it do?,"An AWS Organizations policy that sets the MAXIMUM permissions for accounts. It can only restrict, never grant."
What is an SSM document?,A YAML/JSON file that defines parameters and actions System Manager will perform on your instances
What is an SSM Patch Group?,Associates sets of instances with a patch baseline
What is AWS Audit Manager used for?,"Audit Manager collects evidence and automates assessments for compliance frameworks like PCI-DSS, HIPAA, and ISO 27001."
What is AWS ClientVPN?,An AWS managed implementation of OpenVPN
What is AWS cognito for?,Provides end user authentication and authorization.
What is AWS Control Tower?,"Sets up and governs a secure multi-account AWS environment with pre-built guardrails, a landing zone, and an account factory. Built on Organizations + Config."
"What is AWS Cost Anomaly Detection, and why does security care?","Alerts on abnormal spending spikes, which can be the first sign of compromised credentials mining or exfiltrating."
What is AWS Direct connect?,Allows you to directly connect your resources to AWS without going through the internet.
What is AWS Fault Injection Service used for?,Runs controlled chaos/fault experiments to validate resilience and incident-response plans.
What is AWS IAM Identity Center (formerly AWS SSO)?,Centralized workforce identity + SSO across multiple AWS accounts and apps; issues short-lived credentials instead of long-term keys. The modern replacement for IAM users for human access.
What is AWS IoT Device Defender?,"Audits IoT device configurations, monitors connected devices for abnormal behavior, and helps mitigate device security risks."
What is AWS Network Firewall?,"A managed stateful network firewall for VPCs with Suricata-compatible rules, filtering traffic between subnets, the internet, and on premises."
What is AWS RAM (Resource Access Manager) used for?,"It enables secure sharing of AWS resources (e.g., subnets, transit gateways) across accounts and organizations without duplication."
What is AWS route propagation?,Allows your VPC route tables to automatically receive routes for your on-premises network
What is AWS SES?,Simple Email Service
What is AWS Verified Access?,"Provides secure access to applications without a VPN, evaluating identity + device trust on every request. A named AWS Zero Trust service."
"What is CloudTrail event history, and how far back does it go?","A viewable, searchable record of the last 90 days of management events with no setup required; a trail delivering to S3 is what keeps logs longer."
What is CloudTrail log file validation?,"An integrity feature: CloudTrail writes signed digest files referencing each log file's hash, so tampering with or deleting logs can be proven."
What is CloudWatch Logs Insights used for?,"It allows interactive queries on CloudWatch Logs using a query language to detect patterns, anomalies, and operational issues."
What is cross-account AssumeRole?,"A principal in one account assumes a role in another to get temporary credentials, instead of sharing long-term keys across accounts."
What is delegated administrator access in AWS Organizations?,"It allows designated accounts to manage specific AWS services (e.g., Security Hub, Config) across the organization without requiring root access."
What is envelope encryption?,Data is encrypted with a data key; the data key is itself encrypted by a KMS key (CMK). Stored together; only the encrypted data key leaves KMS.
What is IAM database authentication for RDS?,Connecting to the database with a short-lived authentication token generated by RDS instead of a password.
What is IRSA (IAM Roles for Service Accounts) in EKS?,"Maps a Kubernetes service account to an IAM role so pods get scoped, temporary AWS credentials instead of node-wide or static keys."
What is MFA Delete used for in S3,Forces the user to perform MFA before deleting something
What is OCSF (Open Cybersecurity Schema Framework)?,An open standard for normalizing security log/event data so tools can interoperate. Security Lake stores data in OCSF.
What is Route53 DNS query logging?,Logs public queries the Route 53 resolver recognizes.
What is S3 Glacier Vault Lock?,"A lockable vault policy enforcing WORM retention on a Glacier vault; once locked, the policy cannot be changed or removed."
What is Skill 3.2.7 (GenAI guardrails) about in SCS-C03?,"Implementing protections and guardrails for generative AI applications (input/output filtering, access control, abuse prevention). New focus area in C03."
What is SSE-KMS?,Encrypts objects in S3 using KMS
What is SSM Data Sync used for?,Synchronizing inventory data from multiple AWS regions to a single S3 bucket to allow for centralized management
What is SSM Patch Manager used for?,Keeping systems updated using automation
What is template hardening in AWS CloudFormation?,"It involves validating templates, enforcing parameter constraints, avoiding hardcoded values, and using IAM least privilege."
What is the AWS Security Finding Format (ASFF)?,"ASFF is a standard JSON format for AWS security findings, allowing integration between AWS and third-party tools. Used by services like GuardDuty and Security Hub."
What is the AWS Security Incident Response Guide?,An AWS whitepaper that outlines a framework and best practices for responding to cloud security incidents using AWS tools and services.
What is the AWS shared responsibility model in one line?,"AWS secures the cloud (infrastructure); the customer secures what's IN the cloud (configuration, data, access, patching)."
What is the AWS Well-Architected Tool and how does it help?,"It evaluates workloads against AWS best practices across 6 pillars including security and cost optimization, identifying gaps and offering remediation steps."
What is the benefit of using AWS CloudFormation for deployments?,"CloudFormation enables consistent, repeatable, and secure deployment of infrastructure as code, with drift detection and change management."
What is the benefit of using OAC and SSE-KMS,You can specify that CloudFront is the only one able to decrypt the S3 bucket content by giving CloudFront explicit permissions to decrypt.
What is the best place to look if something is deleted in AWS?,Cloudtrail
What is the CGW?,It is the customer side of the VPN connection
What is the default behavior for patch baselines?,Only critical and security patches are installed
What is the default namespace for logs collected by the Unified Cloudwatch Agent?,CWAgent
What is the difference between ABAC and RBAC in AWS?,ABAC (Attribute-Based Access Control) grants access based on tags/attributes; RBAC (Role-Based Access Control) assigns access based on roles linked to job functions.
What is the difference between management events and data events in CloudTrail?,"Management events are control plane (CreateBucket, Delete Bucket) Data events are data plane (GetObject, PutObject)"
What is the difference between Secrets Manager and Parameter Store?,"Secrets Manager is purpose-built for secret management and rotation; Parameter Store is for configuration data, secrets, and integration with Systems Manager."
What is the difference between SSM Automations and SSM Run Command,SSM Automations is used for high level (orchestration) tasks. SSM Run Command is used for lower level (automation) tasks. Run Command is exclusive to EC2 instances
What is the difference between symmetric and asymmetric encryption in AWS?,"Symmetric encryption uses one key for encryption/decryption (used by KMS); asymmetric uses a public/private key pair (e.g., for digital signatures)."
What is the four-part structure of an IAM policy statement?,"Effect (Allow/Deny), Action, Resource, and optional Condition (plus Principal in resource-based policies)."
What is the purpose of a KMS key policy?,"It defines who can use or manage the KMS key, enabling fine-grained access control over encryption operations."
What is the purpose of a runbook or playbook in AWS incident response?,"A playbook defines high-level strategy for a class of incidents. A runbook provides detailed, step-by-step instructions for handling specific incidents; both automate response workflows."
What is the purpose of AWS Organizations?,"AWS Organizations enables centralized account management, consolidated billing, application of Service Control Policies (SCPs), and resource sharing across accounts."
What is the purpose of resource-based policies?,"They allow you to grant access to a resource (e.g., S3 bucket, Lambda function) from other accounts or services without attaching permissions to IAM identities."
What is the purpose of TLS in AWS?,"TLS (Transport Layer Security) ensures encryption and integrity of data in transit between clients and services. It's used by AWS services like CloudFront, ELB, API Gateway, and S3."
What is the recommended method for encrypting EBS volumes?,Use AWS KMS with customer-managed keys (CMKs) and enforce encryption through IAM policies or SCPs.
What is the S3 Requester Pays feature?,The requester pays request and transfer costs instead of the bucket owner; the owner always pays for storage.
What is the TTL for DNSSEC records in a R53 hosted zone?,7 days
What is the URL for IMDS?,http://169.254.169.254/latest/meta-data
What is tokenization?,"Converting highly sensitive data such as card or health numbers into a non-sensitive token, so systems handle the token instead of the real value."
What is Traffic Mirroring used for in AWS?,It allows capturing packet-level data from EC2 instances to analyze network traffic and troubleshoot issues.
What is used to solve the confused deputy problem?,An external ID
What limit is used to throttle API gateway across all methods and clients?,Stage limits
What limit is used to throttle API gateway across specific methods?,Method Limit
What limit is used to throttle per client usage in API gateway?,Usage Plans
What logs or metrics can indicate edge-based attacks?,"AWS WAF logs, CloudFront access logs, ELB logs, Route 53 query logs, CloudWatch metrics (e.g. 403 spikes, request count anomalies)."
What needs to be enabled in order to enable MFA Delete?,Versioning
What needs to be enabled in order to use S3 object lock?,Versioning
What pentesting activities are forbidden on AWS infrastructure?,"1. DNS zone walking via Amazon route 53 hosted zones 2. DOS/DDOS 3. Port Flooding, protocol flooding, request flooding"
What problem does AWS Verified Access solve vs a traditional VPN?,"VPN grants broad network access after one auth; Verified Access evaluates each request against identity and device context (never trust, always verify)."
"What replaced the SCS-C02 ""Threat Detection and Incident Response"" domain in C03?",It split into two separate domains: Detection and Incident Response.
What report can you use to list all the accounts and users and the statuses of their credentials?,IAM credentials Report
"What SCP is attached by default to every organization root, OU, and account?","FullAWSAccess, which allows all actions and services; your own SCPs then restrict from that starting point."
What service can be used to enforce security policies at the network and account level?,"AWS Firewall Manager can apply WAF, Shield Advanced, and security group policies across multiple accounts in an Organization."
What service can be used to quickly analyze logs with SQL?,Amazon Athena. You must store in S3 first.
"What service provides near real-time threat detection based on VPC traffic, DNS logs, and AWS CloudTrail?",Amazon GuardDuty
What services are supported by VPC Endpoint gateway?,S3 and DynamoDB
What should be used as the default IPv4 route in a subnet?,The NATGW IP.
What should you define to generate alerts based on system behavior?,"Define relevant metrics and thresholds that represent anomalous or undesired behavior (e.g., IAM policy changes, denied actions, root account usage)."
What should you evaluate to align logging and monitoring with security requirements?,"Review service configurations, log retention settings, encryption status, completeness of coverage, and alert thresholds."
What SSM feature is used to create State Manager Associations?,SSM Documents
What tool allows creation of metric filters and dashboards for threat detection?,Amazon CloudWatch.
What tool can help simulate and test IAM policies?,"The IAM Policy Simulator, available in the AWS Console and API, allows you to test policies and simulate actions to check if access would be allowed or denied."
What tool helps analyze reachability in a VPC?,"VPC Reachability Analyzer evaluates whether one resource can reach another in a VPC based on routing, security groups, and NACLs."
What tools help identify unused or underutilized resources in AWS?,"AWS Trusted Advisor, Cost Explorer, Compute Optimizer, and AWS Config can identify unused instances, volumes, and idle load balancers."
What tools monitor baselines and detect anomalies in AWS environments?,"Amazon GuardDuty (threat detection), AWS Systems Manager (compliance monitoring), CloudWatch (custom metrics and baselines)."
What traffic is not captured by VPC flow logs (7 kinds),1. Amazon DNS servers 2. Amazon windows license activation 3. Traffic for 169.254.169.254 4. DHCP 5. Mirrored traffic 6. Traffic to VPC router reserved IP address 7. Traffic between VPC endpoint ENI and network load balancer ENI
"What type of S3 lock would be used to prevent all users, including the root user from modifying the object until the retention period expires?",Compliance Mode
What type of S3 lock would be used to prevent allow specific users with special permissions to override the lock?,Governance
What types of data does the Custom event bus support in amazon EventBridge?,Your apps or apps without a partner event bus
What types of data does the Default event bus support in amazon EventBridge?,"AWS native services such as EC2, Lambda, S3."
What types of data does the Partner event bus support in amazon EventBridge?,AWS SaaS partners
What would you use if you wanted to exclude a specific type of data from Amazon Macie?,Allow lists
When does Amazon inspector assess container images?,When they are pushed
When is it better to use Cognito rather than IAM?,Cognito is better for large numbers of external users
When should you use AWS STS for temporary credentials?,"When you need to grant short-term, limited access (e.g., cross-account access, federated users, or switching roles)."
Where are NACLs applied?,Between subnets
Where can WAF logs be sent to?,1. CloudWatch 2. KDF 3. S3
Where can you send data from logs subscriptions to?,"KDS, KDF, Lambda"
Where can you send records of SSM session manager sessions?,Cloudwatch and S3
Where can you store cloudtrail logs?,S3 or Cloudwatch
Where does Amazon inspector send its findings?,Security Hub
Where does encryption happen for CloudFront Field level encryption?,"At the edge location, closer to the user."
Where does the NATGW sit?,In a public subnet. It routes between the public and private subnets.
"Which AWS service aggregates findings from GuardDuty, Inspector, and Macie?",AWS Security Hub
Which AWS service enables secure remote access to EC2 instances without needing SSH keys or opening inbound ports?,AWS Systems Manager Session Manager
Which AWS services can analyze captured logs?,"Amazon Athena (SQL queries on S3 logs), CloudWatch Logs Insights, Security Hub Insights, and CloudTrail Insights."
Which AWS services can detect security threats automatically?,"Amazon GuardDuty, Amazon Macie, AWS Config, AWS Security Hub, IAM Access Analyzer, Amazon Inspector, AWS Detective."
Which AWS services can help invalidate and rotate credentials after a compromise?,"AWS Identity and Access Management (IAM), AWS Secrets Manager, and AWS Systems Manager (for automating secret updates)."
Which AWS services enable secure hybrid connectivity?,"AWS VPN, AWS Direct Connect, AWS VPN over Direct Connect with MACsec encryption."
Which AWS services offer logging capabilities?,"AWS CloudTrail (API activity), VPC Flow Logs (network traffic), Route 53 DNS Logs, Amazon CloudWatch Logs (application/system logs)."
Which AWS services protect a workload against DDoS at the edge?,"AWS Shield (Standard or Advanced), AWS WAF, and Amazon CloudFront"
Which AWS services provide edge protection for web applications?,"AWS WAF (web application firewall), AWS Shield (DDoS protection), Amazon CloudFront (CDN), Elastic Load Balancers, Amazon Route 53 (DNS)."
Which AWS services provide monitoring and alerting for security events?,"Amazon CloudWatch (metrics and logs), Amazon EventBridge (event routing), AWS Lambda (automated responses), Amazon SNS (notifications), AWS Security Hub (centralized findings)."
Which AWS services scan EC2 and container workloads for vulnerabilities?,"Amazon Inspector (EC2 and container image scans), Amazon ECR (container scanning), AWS Systems Manager (patch compliance)."
Which AWS services support encryption at rest by default or optionally?,"Amazon S3, RDS, EBS, EFS, DynamoDB, SQS, Redshift, and Aurora support encryption at rest using AWS KMS."
Which AWS services support private connectivity between VPCs and services?,"VPC peering, AWS Transit Gateway, VPC endpoints (interface and gateway), AWS PrivateLink."
Which logs help analyze network problems in AWS?,"Route 53 DNS query logs, AWS WAF logs, VPC Flow Logs, Load Balancer access logs."
Which services are used for storing secrets securely in AWS?,AWS Secrets Manager and AWS Systems Manager Parameter Store support encrypted storage of secrets and config values.
Which two AWS services help investigate root cause and attack paths during a security incident?,Amazon Detective and AWS CloudTrail
Which VPN technologies are commonly used for encrypted communication in AWS?,IPSec VPNs are used in AWS Site-to-Site VPN connections for secure communication between on-premises and AWS.
Why are instance stores faster than EBS?,They are directly attached hardware. EBS is network based.
Why are short-lived credentials preferred over IAM user access keys?,"They expire automatically, so a leaked credential is useless within hours. Core Zero Trust practice; reduces blast radius of a compromise."
Why does OCSF matter for log analysis?,Normalized schema means logs from many sources can be queried and correlated together without custom parsing per source.
Why is a consistent tagging strategy important?,"Tagging supports cost allocation, automation, access control (ABAC), resource grouping, and security/compliance reporting."
"Why is the SCS-C03 exam considered ""scenario-based""?","Questions describe a situation and ask which service you'd choose and in what order, not just what a service is. Tests judgment over memorization."
