front,back
Which control families were dropped from 800-53 when 800-171 was created?,"Contingency planning, most of system and services acquisition, planning, program management, privacy, and much of the assessment and authorization family. They were assumed already present in federal systems."
Which hardening standard does DoD require rather than CIS benchmarks?,DISA STIGs.
Which inventory workbook column matters most for ConMon?,"The authenticated scan flag per asset. It is where the inventory declares what should have been scanned, which is what you reconcile the scan results against."
Which part of OSCAL automation does not automate?,The mapping from a cloud object property to control satisfaction. Knowing what actually satisfies a control objective is judgment. Emitting JSON is not the scarce skill.
Which things does CMMC leave to the organization that FedRAMP prescribes?,"Boundary scoping approach, documentation format, control parameter values, scan cadence and types, remediation timelines, POA&M use, change management process, continuous monitoring program design, and configuration baseline choice."
Who accepts risk in FedRAMP?,"The Authorizing Official at the sponsoring agency. Risk acceptance is not an internal decision, and the deviation request is the route to it."
Who does GDPR apply to?,"Any organization processing personal data of EU residents, regardless of location."
Who grants a FedRAMP ATO?,The Authorizing Official (AO) at the sponsoring agency. Authorization is a risk acceptance decision by a person.
Who issues SOC 2 reports?,Certified public accounting (CPA) firms.
Who must comply with HIPAA regulations?,Covered entities (like healthcare providers) and their business associates.
Who must comply with PCI DSS?,"Any organization that stores, processes, or transmits credit card information."
Who validates the impact level you propose?,"You make the initial FIPS 199 determination, and the agency sponsor validates the recommendation."
Why automate reconciliation and aging before prevention?,"They are the two things that fail every month, they are pure data work with no judgment so they automate cleanly, they fail silently with no feedback until the assessor finds them, and running them tells you what to prevent. Building prevention first means guessing."
Why build alerts before automation?,"An alert is automation with a human as the action. It surfaces the failure while it is still cheap, produces the signal you later automate against, and tells you whether the condition is even worth automating."
"Why do containers break the monthly scan model, and what satisfies the requirement instead?","They do not live a month. FedRAMP expects containers rebuilt and redeployed rather than patched in place, so the image scan plus proof that running containers only come from scanned images is what satisfies the scanning requirement."
Why do required tags matter so much in a compliance program?,"Owner, environment, data classification, and boundary tags are what make inventory reconciliation and POA&M enrichment possible. The modify effect can add them at creation rather than chasing them later."
Why do the CIS and CRM exist in FedRAMP but not in CMMC?,"FedRAMP authorizes a service that other organizations consume and inherit from. CMMC certifies an organization protecting its own systems, so there is nobody inheriting."
Why group POA&M items by root cause?,Two hundred rows traced to one unpatched base image is one fix and one conversation with one team. Counting rows makes the program look overwhelmed and points the team at symptoms.
Why has agent based scanning become dominant at scale?,"Managing credentials across a large or ephemeral fleet does not work. The agent reports in, so there is no credential handling at scan time and no silent authentication failure."
Why is a dashboard not an artifact?,"A dashboard answers what is true now. An artifact must prove what was true on a specific date, because that is what an assessor asks about a monthly submission. The artifact is a scheduled point in time export written to immutable storage with the query definition attached, so it is reproducible."
Why is a SOC 2 report important for service organizations?,It builds trust with clients by verifying data protection and control practices.
Why is an agentless CNAPP usually not the scanner of record?,"FedRAMP has historically meant a credentialed scan where the scanner logs in and enumerates packages, patch level, and configuration. Agentless snapshot reading is a different mechanism, so the 3PAO has to understand it, observe or reproduce it, and attest results reflect reality. Coverage is also uneven: strong on host and container image, but it is not a web application scanner and does not do authenticated database configuration scanning."
Why is integrating multiple compliance frameworks beneficial?,"It reduces duplication, streamlines audits, and enhances overall security posture."
Why is recurrence worse than persistence in a POA&M?,"An item closed one month that reappears the next means the remediation did not hold. That reads worse to an assessor than an item that stayed open with an honest plan, and recurrence rate is the only honest measure of remediation quality."
Why is severity not the same as risk?,"NIST 800-53 Rev 5 does not treat vulnerability severity as synonymous with risk. Exposure, reachability, and what sits behind the asset determine actual risk. Without disciplined risk adjustment up front, a scan returning thousands of highs against a 30 day clock becomes unmanageable."
Why is stating that the system enforces least privilege not an implementation?,"It states intent rather than mechanism. An implementation names what enforces it, where it is enforced, and how it is verified."
